Contract Name	Last Trade Date (EDT)	Strike	Last Price	Bid	Ask	Change	% Change	Volume	Open Interest	Implied Volatility
SPY250912C00629000	8/15/2025 9:58 AM	629	21.05	20.10	20.55	-0.90	-4.10%	15	224	17.34%
SPY250912C00630000	8/15/2025 3:34 PM	630	19.94	19.26	19.71	-0.56	-2.73%	79	412	17.07%
SPY250912C00631000	8/14/2025 1:37 PM	631	20.23	18.45	18.89	0.00	0.00%	31	278	16.81%
SPY250912C00632000	8/14/2025 3:18 PM	632	19.73	17.38	18.29	0.00	0.00%	6	274	16.89%
SPY250912C00633000	8/15/2025 1:48 PM	633	17.90	16.60	17.46	-0.23	-1.27%	12	110	16.59%
SPY250912C00634000	8/15/2025 4:02 PM	634	16.08	15.84	16.77	-2.28	-12.42%	22	125	16.50%
SPY250912C00635000	8/15/2025 4:10 PM	635	15.31	15.27	15.70	-1.77	-10.36%	252	1,393	15.81%
SPY250912C00636000	8/15/2025 3:42 PM	636	15.20	14.56	14.93	-0.45	-2.88%	203	504	15.56%
SPY250912C00637000	8/15/2025 12:35 PM	637	14.10	13.73	14.18	-1.05	-6.93%	24	471	15.33%
SPY250912C00638000	8/15/2025 3:56 PM	638	13.23	12.84	13.54	-1.88	-12.44%	85	494	15.24%
SPY250912C00639000	8/15/2025 1:50 PM	639	13.41	12.42	12.70	-0.69	-4.89%	13	459	14.84%
SPY250912C00640000	8/15/2025 4:02 PM	640	11.67	11.62	11.98	-1.09	-8.54%	3,698	1,404	14.60%
SPY250912C00641000	8/15/2025 4:04 PM	641	10.91	11.02	11.29	-1.69	-13.41%	51	654	14.38%
SPY250912C00642000	8/15/2025 3:55 PM	642	10.47	10.10	10.66	-0.96	-8.40%	111	615	14.23%
SPY250912C00643000	8/15/2025 4:09 PM	643	9.58	9.69	9.78	-1.07	-10.05%	143	308	13.69%
SPY250912C00644000	8/15/2025 4:14 PM	644	9.05	9.05	9.14	-1.05	-10.40%	782	738	13.48%
SPY250912C00645000	8/15/2025 4:04 PM	645	8.31	8.43	8.51	-1.05	-11.22%	2,025	1,944	13.26%
SPY250912C00646000	8/15/2025 4:06 PM	646	7.80	7.83	7.92	-0.92	-10.55%	1,227	555	13.07%
SPY250912C00647000	8/15/2025 3:54 PM	647	7.47	7.26	7.35	-0.67	-8.23%	176	596	12.88%
SPY250912C00648000	8/15/2025 4:02 PM	648	6.65	6.72	6.75	-1.43	-17.70%	110	513	12.62%
SPY250912C00649000	8/15/2025 3:54 PM	649	6.38	6.20	6.25	-0.89	-12.24%	189	804	12.48%
SPY250912C00650000	8/15/2025 4:14 PM	650	5.71	5.70	5.75	-1.21	-17.49%	732	2,574	12.31%
SPY250912C00651000	8/15/2025 3:56 PM	651	5.28	5.23	5.28	-1.16	-18.01%	213	898	12.15%
SPY250912C00655000	8/15/2025 4:14 PM	655	3.61	3.61	3.68	-0.65	-15.26%	325	3,679	11.63%
SPY250912C00660000	8/15/2025 4:04 PM	660	2.12	2.15	2.20	-0.66	-23.74%	236	4,113	11.11%
SPY250912C00665000	8/15/2025 4:06 PM	665	1.20	1.21	1.23	-0.46	-27.71%	974	4,995	10.71%
SPY250912C00670000	8/15/2025 4:06 PM	670	0.65	0.65	0.67	-0.29	-30.85%	189	4,486	10.52%
SPY250912C00675000	8/15/2025 3:57 PM	675	0.38	0.35	0.37	-0.11	-22.45%	248	7,189	10.54%
SPY250912C00680000	8/15/2025 4:04 PM	680	0.21	0.20	0.21	-0.10	-32.26%	163	1,337	10.67%
SPY250912C00685000	8/15/2025 4:07 PM	685	0.12	0.12	0.13	-0.06	-33.33%	145	1,923	10.99%
SPY250912C00690000	8/15/2025 4:07 PM	690	0.09	0.08	0.09	-0.03	-25.00%	218	794	11.45%
SPY250912C00695000	8/15/2025 3:59 PM	695	0.07	0.06	0.07	-0.02	-22.22%	12	45	12.06%
SPY250912C00700000	8/15/2025 1:32 PM	700	0.06	0.04	0.05	-0.01	-14.29%	519	93	12.55%
SPY250912C00705000	8/14/2025 1:18 PM	705	0.05	0.03	0.04	0.00	0.00%	2	39	13.14%
SPY250912C00715000	8/15/2025 12:49 PM	715	0.04	0.02	0.03	0.01	33.33%	28	29	14.45%
SPY250912C00720000	8/8/2025 10:34 AM	720	0.01	0.02	0.03	0.00	0.00%	20	10	15.33%
SPY250912C00725000	8/8/2025 9:30 AM	725	0.02	0.01	0.02	0.00	0.00%	2	2	15.53%
SPY250912C00730000	8/11/2025 1:27 PM	730	0.02	0.01	0.02	0.00	0.00%	4	37	16.31%
SPY250912C00740000	8/13/2025 9:30 AM	740	0.01	0.01	0.02	0.00	0.00%	100	201	17.97%
SPY250912C00745000	8/13/2025 11:26 AM	745	0.01	0.00	0.02	0.00	0.00%	100	226	18.75%
SPY250912C00750000	8/5/2025 2:28 PM	750	0.01	0.00	0.02	0.00	0.00%	-	22	19.43%
SPY250919C00150000	8/14/2025 9:31 AM	150	493.23	492.37	495.17	0.00	0.00%	1	419	189.45%
SPY250919C00155000	4/25/2025 10:34 AM	155	391.53	423.15	426.33	0.00	0.00%	79	83	0.00%
SPY250919C00160000	4/30/2025 4:00 PM	160	396.11	428.60	431.29	0.00	0.00%	10	11	0.00%
SPY250919C00165000	8/7/2025 2:43 PM	165	465.52	477.43	480.24	0.00	0.00%	9	245	181.15%
SPY250919C00170000	6/16/2025 10:34 AM	170	434.54	458.10	460.21	0.00	0.00%	1	80	0.00%
SPY250919C00175000	4/10/2025 9:31 AM	175	359.41	389.15	392.49	0.00	0.00%	-	1	0.00%
SPY250919C00180000	5/30/2025 10:49 AM	180	410.32	439.27	442.81	0.00	0.00%	1	3	0.00%
SPY250919C00190000	4/11/2025 9:30 AM	190	336.60	374.42	377.76	0.00	0.00%	-	1	0.00%
SPY250919C00195000	4/11/2025 9:30 AM	195	331.76	369.52	372.86	0.00	0.00%	-	1	0.00%
SPY250919C00200000	8/15/2025 1:18 PM	200	445.04	442.58	445.38	118.13	36.14%	1	9	162.50%
SPY250919C00205000	4/11/2025 9:30 AM	205	322.07	359.71	363.05	0.00	0.00%	-	1	0.00%
SPY250919C00210000	8/15/2025 2:10 PM	210	435.38	432.62	435.42	18.62	4.47%	1	1	157.42%
SPY250919C00215000	7/31/2025 3:53 PM	215	417.35	427.64	430.45	0.00	0.00%	-	9	155.18%
SPY250919C00220000	3/7/2025 12:35 PM	220	351.87	0.00	0.00	0.00	0.00%	2	0	0.00%
SPY250919C00225000	5/1/2025 9:51 AM	225	338.21	364.66	367.25	0.00	0.00%	79	79	0.00%
SPY250919C00230000	7/9/2025 10:55 AM	230	393.60	408.08	410.75	0.00	0.00%	2	2	0.00%
SPY250919C00235000	5/1/2025 9:40 AM	235	327.75	354.72	357.38	0.00	0.00%	79	79	0.00%
SPY250919C00240000	4/9/2025 9:30 AM	240	259.02	325.40	328.74	0.00	0.00%	1	1	0.00%
SPY250919C00245000	8/15/2025 2:01 PM	245	400.53	397.77	400.57	-1.23	-0.31%	1	7	141.11%
SPY250919C00250000	8/15/2025 1:28 PM	250	395.18	392.79	395.59	44.63	12.73%	2	14	138.87%
SPY250919C00255000	4/9/2025 9:30 AM	255	244.66	310.70	314.05	0.00	0.00%	-	1	0.00%
SPY250919C00260000	6/20/2025 9:52 AM	260	340.65	368.53	370.54	0.00	0.00%	1	80	0.00%
SPY250919C00265000	7/7/2025 12:19 PM	265	358.69	0.00	0.00	0.00	0.00%	16	34	0.00%
SPY250919C00270000	5/1/2025 9:30 AM	270	293.97	320.38	322.97	0.00	0.00%	79	79	0.00%
SPY250919C00275000	7/23/2025 10:29 AM	275	357.56	367.89	370.70	0.00	0.00%	41	22	128.13%
SPY250919C00280000	7/23/2025 10:29 AM	280	352.62	362.92	365.72	0.00	0.00%	3	2	126.12%
SPY250919C00285000	7/1/2025 3:00 PM	285	335.35	347.04	349.84	0.00	0.00%	4	3	0.00%
SPY250919C00290000	7/23/2025 10:29 AM	290	342.70	352.96	355.76	0.00	0.00%	41	21	122.00%
SPY250919C00295000	6/13/2025 12:16 PM	295	308.63	0.00	0.00	0.00	0.00%	99	0	0.00%
SPY250919C00300000	8/15/2025 9:30 AM	300	346.59	343.00	345.81	1.01	0.29%	5	284	118.07%
SPY250919C00305000	7/23/2025 10:30 AM	305	327.89	338.03	340.83	0.00	0.00%	81	62	116.16%
SPY250919C00310000	7/23/2025 10:28 AM	310	322.86	333.05	335.85	0.00	0.00%	2	8	114.18%
SPY250919C00315000	8/15/2025 12:46 PM	315	330.03	328.07	330.87	12.14	3.82%	17	70	112.23%
SPY250919C00320000	7/11/2025 10:43 AM	320	306.72	318.55	321.22	0.00	0.00%	1	24	0.00%
SPY250919C00325000	7/23/2025 10:28 AM	325	307.98	318.12	320.91	0.00	0.00%	3	5	108.47%
SPY250919C00330000	8/7/2025 3:38 PM	330	302.55	313.13	315.94	0.00	0.00%	2	67	106.57%
SPY250919C00335000	8/15/2025 10:30 AM	335	310.53	308.16	310.96	12.49	4.19%	21	40	104.79%
SPY250919C00340000	8/15/2025 2:36 PM	340	305.78	303.18	305.98	-0.33	-0.11%	1	38	102.91%
SPY250919C00345000	8/13/2025 12:04 PM	345	302.00	298.20	301.00	1.57	0.52%	2	54	101.07%
SPY250919C00350000	8/12/2025 10:37 AM	350	290.00	293.22	296.03	0.00	0.00%	1	136	99.32%
SPY250919C00355000	7/30/2025 10:25 AM	355	283.80	288.25	291.05	0.00	0.00%	2	98	97.56%
SPY250919C00360000	8/7/2025 2:06 PM	360	272.59	283.27	286.07	0.00	0.00%	27	148	95.78%
SPY250919C00365000	8/7/2025 3:02 PM	365	267.46	278.29	281.09	0.00	0.00%	6	164	93.99%
SPY250919C00370000	8/7/2025 4:11 PM	370	264.70	273.31	276.12	0.00	0.00%	16	26	92.27%
SPY250919C00375000	8/11/2025 9:45 AM	375	264.47	268.34	271.14	0.00	0.00%	4	132	90.58%
SPY250919C00380000	8/15/2025 1:23 PM	380	266.92	263.36	266.17	14.28	5.65%	35	254	88.89%
SPY250919C00385000	8/14/2025 9:49 AM	385	260.06	258.39	261.19	0.00	0.00%	5	47	87.21%
SPY250919C00390000	8/7/2025 2:02 PM	390	242.70	253.41	256.21	0.00	0.00%	11	111	85.50%
SPY250919C00395000	8/15/2025 2:03 PM	395	251.49	248.44	251.24	13.76	5.79%	2	111	83.89%
SPY250919C00400000	8/12/2025 10:05 AM	400	239.63	243.46	246.26	0.00	0.00%	10	308	82.19%
SPY250919C00405000	8/7/2025 2:50 PM	405	227.14	238.49	241.29	0.00	0.00%	12	156	80.59%
SPY250919C00410000	8/11/2025 9:59 AM	410	229.55	233.52	236.32	0.00	0.00%	5	611	79.02%
SPY250919C00415000	8/1/2025 1:32 PM	415	208.99	228.54	231.34	0.00	0.00%	1	231	77.34%
SPY250919C00420000	8/15/2025 3:50 PM	420	225.82	223.56	226.37	20.13	9.79%	13	894	75.73%
SPY250919C00425000	8/12/2025 1:01 PM	425	218.71	218.59	221.40	0.00	0.00%	1	325	74.17%
SPY250919C00430000	8/15/2025 3:11 PM	430	215.89	213.62	216.42	3.86	1.82%	802	479	72.58%
SPY250919C00435000	8/13/2025 1:33 PM	435	210.39	208.65	211.45	0.00	0.00%	2	631	71.03%
SPY250919C00440000	8/6/2025 3:05 PM	440	195.41	203.68	206.48	0.00	0.00%	15	608	69.48%
SPY250919C00445000	8/12/2025 3:50 PM	445	199.58	198.71	201.51	0.00	0.00%	12	927	67.94%
SPY250919C00450000	8/14/2025 1:47 PM	450	196.00	193.74	196.54	-0.60	-0.31%	3	533	66.41%
SPY250919C00455000	8/15/2025 9:43 AM	455	191.03	188.77	191.57	0.33	0.17%	3	1,488	64.88%
SPY250919C00460000	8/15/2025 1:15 PM	460	186.26	183.81	186.61	-0.58	-0.31%	3	442	63.42%
SPY250919C00465000	8/14/2025 4:01 PM	465	181.74	178.83	181.64	0.00	0.00%	1	1,352	61.85%
SPY250919C00470000	8/11/2025 1:26 PM	470	176.52	173.87	176.67	6.75	3.98%	1	1,900	60.36%
SPY250919C00475000	8/14/2025 4:06 PM	475	171.91	168.90	171.70	0.00	0.00%	1	380	58.85%
SPY250919C00480000	8/15/2025 3:08 PM	480	165.82	163.94	166.70	-0.78	-0.47%	7	4,386	57.28%
SPY250919C00485000	8/6/2025 12:57 PM	485	161.52	158.97	161.78	11.12	7.39%	1	4,770	55.91%
SPY250919C00490000	8/15/2025 3:34 PM	490	156.00	154.02	156.81	-1.92	-1.22%	29	2,510	54.45%
SPY250919C00495000	8/12/2025 11:54 AM	495	151.24	149.05	151.85	2.84	1.91%	4	2,816	52.97%
SPY250919C00500000	8/15/2025 2:31 PM	500	146.96	144.09	146.89	1.21	0.83%	5	3,670	51.50%
SPY250919C00505000	8/14/2025 9:39 AM	505	141.39	139.13	141.93	0.40	0.28%	1	1,596	50.04%
SPY250919C00510000	8/15/2025 1:58 PM	510	137.03	134.17	136.97	2.22	1.65%	6	885	54.57%
SPY250919C00515000	8/15/2025 11:51 AM	515	131.00	129.21	132.01	0.12	0.09%	2	3,032	52.92%
SPY250919C00520000	8/14/2025 3:34 PM	520	125.70	124.25	127.06	-1.97	-1.54%	1	1,356	51.31%
SPY250919C00525000	8/14/2025 3:51 PM	525	121.85	119.30	122.10	-1.14	-0.93%	2	1,948	49.66%
SPY250919C00530000	8/15/2025 3:42 PM	530	116.65	114.35	117.15	-0.76	-0.65%	3	5,763	48.04%
SPY250919C00535000	8/15/2025 4:03 PM	535	110.60	109.39	112.19	-2.80	-2.47%	36	1,428	46.39%
SPY250919C00540000	8/15/2025 3:46 PM	540	106.53	104.44	107.25	-1.50	-1.39%	6	3,554	44.79%
SPY250919C00545000	8/15/2025 3:11 PM	545	101.75	99.50	102.30	-1.55	-1.50%	1	1,913	43.16%
SPY250919C00550000	8/15/2025 3:20 PM	550	96.54	94.56	97.36	-1.79	-1.82%	11	4,892	41.56%
SPY250919C00555000	8/15/2025 4:02 PM	555	90.85	89.62	92.42	-0.42	-0.46%	3	3,867	39.94%
SPY250919C00560000	8/15/2025 4:03 PM	560	85.97	84.69	87.49	-2.37	-2.68%	8	5,284	38.35%
SPY250919C00565000	8/15/2025 9:58 AM	565	81.42	79.77	82.57	-0.46	-0.56%	12	9,501	36.77%
SPY250919C00570000	8/15/2025 3:45 PM	570	76.50	74.86	77.66	-1.55	-1.99%	31	18,664	35.19%
SPY250919C00575000	8/15/2025 3:40 PM	575	71.97	69.98	72.77	-1.36	-1.85%	365	13,772	33.65%
SPY250919C00576000	8/7/2025 2:53 PM	576	71.00	69.00	71.80	11.34	19.01%	8	7	33.36%
SPY250919C00577000	8/15/2025 11:44 AM	577	69.05	68.02	70.82	10.32	17.57%	3	6	33.04%
SPY250919C00578000	8/14/2025 11:56 AM	578	69.49	67.04	69.84	0.00	0.00%	2	16	32.72%
SPY250919C00579000	8/7/2025 11:28 AM	579	68.40	66.07	68.87	10.12	17.36%	1	2	32.43%
SPY250919C00580000	8/15/2025 3:56 PM	580	66.51	65.10	67.90	-2.18	-3.17%	35	13,883	32.13%
SPY250919C00581000	8/14/2025 11:14 AM	581	67.23	64.13	66.93	0.00	0.00%	1	20	31.83%
SPY250919C00582000	8/13/2025 12:20 PM	582	65.18	63.16	65.96	-0.15	-0.23%	1	9	31.53%
SPY250919C00583000	8/15/2025 9:30 AM	583	63.41	62.19	64.99	-1.48	-2.28%	3	110	31.23%
SPY250919C00584000	8/15/2025 11:24 AM	584	63.02	61.22	64.02	-0.47	-0.74%	3	5	30.93%
SPY250919C00585000	8/15/2025 3:48 PM	585	62.20	60.25	63.05	-1.33	-2.09%	4	11,875	30.62%
SPY250919C00586000	8/12/2025 2:52 PM	586	60.24	59.29	62.09	0.00	0.00%	13	13	30.34%
SPY250919C00587000	8/15/2025 3:53 PM	587	60.01	58.32	61.12	1.71	2.93%	200	46	30.03%
SPY250919C00588000	8/13/2025 3:30 PM	588	60.06	57.36	60.16	0.00	0.00%	5	50	29.74%
SPY250919C00589000	8/13/2025 12:44 PM	589	58.00	56.40	59.20	0.00	0.00%	5	42	29.46%
SPY250919C00590000	8/15/2025 4:11 PM	590	56.67	55.43	58.24	-1.74	-2.98%	42	14,206	29.16%
SPY250919C00591000	8/15/2025 2:41 PM	591	56.94	54.47	57.28	2.92	5.41%	45	36	28.87%
SPY250919C00592000	8/15/2025 2:27 PM	592	56.13	53.52	56.32	-0.96	-1.68%	2	16	28.57%
SPY250919C00593000	8/15/2025 3:54 PM	593	54.03	52.56	55.37	-0.38	-0.70%	203	13	28.30%
SPY250919C00594000	8/15/2025 4:03 PM	594	52.79	51.61	54.41	-1.50	-2.76%	1	65	28.00%
SPY250919C00595000	8/15/2025 4:01 PM	595	52.04	50.66	53.46	-2.46	-4.51%	228	12,897	27.72%
SPY250919C00596000	8/13/2025 9:53 AM	596	53.88	49.71	52.51	0.00	0.00%	1	9	27.43%
SPY250919C00597000	8/15/2025 2:20 PM	597	51.06	48.76	51.56	2.72	5.63%	2	5	27.15%
SPY250919C00598000	8/15/2025 11:08 AM	598	49.30	47.81	50.61	-0.56	-1.12%	18	42	26.86%
SPY250919C00599000	8/15/2025 3:52 PM	599	48.52	46.87	49.67	-2.01	-3.98%	5	32	26.59%
SPY250919C00600000	8/15/2025 3:09 PM	600	47.74	45.92	48.73	-1.55	-3.14%	162	40,113	26.31%
SPY250919C00601000	8/15/2025 2:09 PM	601	47.57	45.26	47.42	0.58	1.23%	101	7	25.32%
SPY250919C00602000	8/15/2025 4:00 PM	602	45.32	44.04	46.85	-1.44	-3.08%	17	14	25.75%
SPY250919C00603000	8/15/2025 2:08 PM	603	45.67	43.10	45.89	0.79	1.76%	10	22	25.43%
SPY250919C00604000	8/15/2025 2:27 PM	604	44.74	42.17	44.94	5.71	14.63%	222	5	25.12%
SPY250919C00605000	8/15/2025 3:06 PM	605	43.09	41.60	43.60	-1.45	-3.26%	1,077	17,774	24.09%
SPY250919C00606000	8/15/2025 1:47 PM	606	42.05	40.62	42.68	-0.27	-0.64%	3	30	23.84%
SPY250919C00607000	8/15/2025 10:18 AM	607	41.20	39.70	41.75	6.13	17.48%	6	129	23.57%
SPY250919C00608000	8/15/2025 3:17 PM	608	40.46	38.86	40.85	-1.10	-2.65%	1	47	23.35%
SPY250919C00609000	8/15/2025 1:53 PM	609	39.94	37.95	39.90	1.04	2.67%	1	75	23.04%
SPY250919C00610000	8/15/2025 4:11 PM	610	37.90	37.09	38.96	-2.09	-5.23%	150	27,023	22.74%
SPY250919C00611000	8/15/2025 4:06 PM	611	36.88	35.82	38.33	-2.84	-7.15%	3	48	22.97%
SPY250919C00612000	8/15/2025 3:21 PM	612	36.58	35.27	37.12	0.33	0.91%	24	43	22.20%
SPY250919C00613000	8/15/2025 12:51 PM	613	36.09	34.06	36.45	0.28	0.78%	2	64	22.34%
SPY250919C00614000	8/13/2025 10:45 AM	614	34.90	33.16	35.55	-0.73	-2.05%	1	90	22.09%
SPY250919C00615000	8/15/2025 3:35 PM	615	33.77	32.61	34.24	-1.89	-5.30%	45	27,410	21.15%
SPY250919C00616000	8/14/2025 1:15 PM	616	34.17	31.72	33.40	0.00	0.00%	2	149	20.99%
SPY250919C00617000	8/15/2025 2:22 PM	617	32.51	30.58	32.79	-0.01	-0.03%	3	68	21.20%
SPY250919C00618000	8/15/2025 12:05 PM	618	31.22	30.00	31.61	-1.08	-3.34%	12	487	20.48%
SPY250919C00619000	8/15/2025 4:06 PM	619	29.89	29.11	30.69	0.67	2.29%	15	314	20.17%
SPY250919C00620000	8/15/2025 4:03 PM	620	28.90	28.80	29.37	-1.83	-5.96%	3,216	16,259	19.22%
SPY250919C00621000	8/15/2025 1:55 PM	621	29.40	27.93	28.51	-0.47	-1.57%	34	2,230	19.01%
SPY250919C00622000	8/15/2025 11:10 AM	622	27.66	27.06	27.64	-0.34	-1.21%	3	1,013	18.77%
SPY250919C00623000	8/15/2025 4:03 PM	623	26.19	26.19	26.77	-1.75	-6.26%	30	2,531	18.52%
SPY250919C00624000	8/15/2025 12:01 PM	624	25.92	25.34	25.90	-1.08	-4.00%	12	3,982	18.27%
SPY250919C00625000	8/15/2025 4:12 PM	625	24.60	24.53	25.05	-2.32	-8.62%	335	20,168	18.04%
SPY250919C00630000	8/15/2025 4:12 PM	630	20.35	20.35	20.79	-1.75	-7.92%	342	46,762	16.74%
SPY250919C00635000	8/15/2025 4:01 PM	635	16.52	16.34	16.88	-1.30	-7.30%	463	23,693	15.67%
SPY250919C00640000	8/15/2025 4:08 PM	640	12.77	12.65	13.16	-1.23	-8.79%	5,465	50,597	14.53%
SPY250919C00645000	8/15/2025 4:13 PM	645	9.60	9.57	9.69	-1.05	-9.86%	10,368	26,082	13.32%
SPY250919C00650000	8/15/2025 4:12 PM	650	6.78	6.80	6.85	-0.95	-12.29%	4,469	35,789	12.42%
SPY250919C00655000	8/15/2025 4:14 PM	655	4.65	4.59	4.66	-0.58	-11.09%	5,316	27,963	11.79%
SPY250919C00660000	8/15/2025 4:14 PM	660	3.01	2.97	3.04	-0.52	-14.73%	4,921	24,355	11.34%
SPY250919C00665000	8/15/2025 4:12 PM	665	1.85	1.85	1.91	-0.41	-18.14%	3,111	15,021	11.03%
SPY250919C00670000	8/15/2025 4:14 PM	670	1.12	1.11	1.15	-0.28	-20.00%	1,394	16,126	10.80%
SPY250919C00675000	8/15/2025 4:14 PM	675	0.65	0.66	0.68	-0.20	-23.53%	3,883	13,360	10.69%
SPY250919C00680000	8/15/2025 4:09 PM	680	0.39	0.40	0.41	-0.12	-23.53%	1,306	15,244	10.74%
SPY250919C00685000	8/15/2025 3:53 PM	685	0.26	0.25	0.26	-0.06	-18.75%	386	9,577	10.93%
SPY250919C00690000	8/15/2025 4:14 PM	690	0.18	0.17	0.18	-0.04	-18.18%	10,088	9,614	11.28%
SPY250919C00695000	8/15/2025 3:40 PM	695	0.13	0.12	0.13	-0.03	-18.75%	338	5,374	11.70%
SPY250919C00700000	8/15/2025 3:58 PM	700	0.09	0.09	0.10	-0.02	-18.18%	2,357	19,300	12.16%
SPY250919C00705000	8/15/2025 4:06 PM	705	0.07	0.06	0.08	-0.02	-22.22%	232	4,297	12.70%
SPY250919C00710000	8/15/2025 3:07 PM	710	0.05	0.05	0.06	-0.01	-16.67%	4,706	4,426	13.09%
SPY250919C00715000	8/15/2025 4:01 PM	715	0.04	0.04	0.05	-0.02	-33.33%	1,625	11,138	13.62%
SPY250919C00720000	8/15/2025 2:48 PM	720	0.04	0.03	0.04	-0.01	-20.00%	3,018	5,859	14.06%
SPY250919C00725000	8/13/2025 1:25 PM	725	0.04	0.03	0.04	0.00	0.00%	1,016	3,649	14.84%
SPY250919C00730000	8/15/2025 1:47 PM	730	0.03	0.02	0.03	-0.01	-25.00%	62	6,509	15.14%
SPY250919C00735000	8/13/2025 10:18 AM	735	0.03	0.02	0.03	0.00	0.00%	195	6,782	15.82%
SPY250919C00740000	8/15/2025 10:56 AM	740	0.02	0.02	0.03	0.00	0.00%	35	4,100	16.60%
SPY250919C00745000	8/8/2025 4:08 PM	745	0.02	0.01	0.02	0.00	0.00%	2	4,561	16.60%
SPY250919C00750000	8/15/2025 12:45 PM	750	0.01	0.01	0.02	-0.01	-50.00%	1	8,606	17.38%
SPY250919C00755000	8/13/2025 10:21 AM	755	0.02	0.01	0.02	0.00	0.00%	1	3,991	17.97%
SPY250919C00760000	8/11/2025 2:11 PM	760	0.01	0.01	0.02	0.00	0.00%	6	3,694	18.75%
SPY250919C00765000	8/14/2025 9:53 AM	765	0.01	0.01	0.03	0.00	0.00%	2	1,406	20.12%
SPY250919C00770000	8/14/2025 10:39 AM	770	0.02	0.01	0.02	0.00	0.00%	1	995	19.92%
SPY250919C00775000	8/14/2025 4:13 PM	775	0.01	0.01	0.02	0.00	0.00%	500	2,266	20.70%
SPY250919C00780000	8/15/2025 3:37 PM	780	0.01	0.00	0.01	0.00	0.00%	14,451	45,850	19.92%
SPY250919C00785000	8/13/2025 12:48 PM	785	0.02	0.00	0.02	0.00	0.00%	114	5,996	21.88%
SPY250919C00790000	8/13/2025 2:06 PM	790	0.01	0.00	0.02	0.00	0.00%	2	3,493	22.46%
SPY250919C00795000	7/25/2025 1:32 PM	795	0.01	0.00	0.02	0.00	0.00%	44	3,221	23.24%
SPY250919C00800000	8/15/2025 4:02 PM	800	0.01	0.00	0.01	0.00	0.00%	500	4,362	22.46%
SPY250919C00805000	7/24/2025 2:07 PM	805	0.01	0.00	0.01	0.00	0.00%	4	3,901	23.05%
SPY250919C00810000	7/22/2025 10:53 AM	810	0.01	0.00	0.02	0.00	0.00%	1	5,527	25.00%
SPY250919C00815000	7/11/2025 3:24 PM	815	0.01	0.00	0.01	0.00	0.00%	3,001	17,309	24.22%
SPY250919C00820000	7/28/2025 3:08 PM	820	0.01	0.00	0.02	0.00	0.00%	670	8,791	26.17%
SPY250919C00825000	8/13/2025 10:02 AM	825	0.01	0.00	0.02	0.00	0.00%	2	13,520	26.76%
SPY250919C00830000	8/5/2025 2:08 PM	830	0.01	0.00	0.01	0.00	0.00%	2	14,341	25.78%
SPY250926C00595000	8/15/2025 3:45 PM	595	53.29	50.73	54.19	-1.77	-3.21%	8	93	26.57%
SPY250926C00600000	8/15/2025 3:26 PM	600	48.27	46.35	49.10	-1.20	-2.43%	15	100	24.60%
SPY250926C00605000	8/15/2025 11:30 AM	605	44.37	41.81	44.40	-0.96	-2.12%	13	22	23.27%
SPY250926C00618000	8/14/2025 11:25 AM	618	32.29	30.67	32.18	0.00	0.00%	1	1	19.47%
SPY250926C00620000	8/15/2025 2:16 PM	620	30.61	28.73	30.62	-1.30	-4.07%	3	5	19.28%
SPY250926C00621000	8/15/2025 10:33 AM	621	29.39	27.88	29.76	0.74	2.58%	1	3	19.06%
SPY250926C00625000	8/15/2025 2:19 PM	625	26.16	25.21	25.75	-0.16	-0.61%	170	41	17.37%
SPY250926C00626000	8/15/2025 10:28 AM	626	25.34	23.97	25.16	0.39	1.56%	2	46	17.48%
SPY250926C00627500	8/12/2025 1:34 PM	627.5	22.90	22.56	24.09	0.00	0.00%	5	5	17.38%
SPY250926C00628000	8/13/2025 10:20 AM	628	24.98	22.37	23.48	0.00	0.00%	1	4	17.02%
SPY250926C00629000	8/13/2025 12:09 PM	629	22.90	21.56	22.65	0.00	0.00%	1	1	16.79%
SPY250926C00630000	8/15/2025 3:42 PM	630	21.85	21.07	21.64	0.01	0.05%	11	293	16.32%
SPY250926C00631000	8/15/2025 3:28 PM	631	21.18	19.83	21.15	-0.99	-4.47%	2	149	16.50%
SPY250926C00632000	8/14/2025 11:49 AM	632	20.72	19.22	20.18	-0.01	-0.05%	1	16	16.07%
SPY250926C00632500	8/13/2025 10:25 AM	632.5	21.33	18.83	19.77	0.45	2.16%	5	70	15.95%
SPY250926C00633000	8/14/2025 12:21 PM	633	19.29	18.52	19.33	-0.13	-0.67%	4	13	15.78%
SPY250926C00634000	8/14/2025 9:48 AM	634	18.81	17.69	18.57	0.00	0.00%	5	11	15.60%
SPY250926C00635000	8/15/2025 2:56 PM	635	18.23	16.95	17.78	0.46	2.59%	10	72	15.36%
SPY250926C00636000	8/15/2025 11:39 AM	636	16.85	16.21	17.04	-1.71	-9.21%	1	81	15.17%
SPY250926C00637000	8/15/2025 3:09 PM	637	16.35	15.50	16.27	-0.10	-0.61%	226	84	14.94%
SPY250926C00637500	8/14/2025 11:33 AM	637.5	16.24	15.12	15.89	0.00	0.00%	2	50	14.83%
SPY250926C00638000	8/15/2025 2:41 PM	638	15.92	14.76	15.52	-1.07	-6.30%	2	114	14.72%
SPY250926C00639000	8/15/2025 11:42 AM	639	14.38	14.06	14.79	-1.55	-9.73%	4	25	14.51%
